name,lat,lon,country
Pipeline,21.66522,-158.0526,United States
Uluwatu,-8.814,115.089,Indonesia
Cloudbreak,-17.884684684407535,177.18771,Fiji
Jeffreys Bay (J-Bay),-34.03148611,24.93413,South Africa
Snapper Rocks,-28.16143481052803,153.55066,Australia
Padang Padang,-8.810197222,115.10105,Indonesia
G-land,-8.7269,114.34882,Indonesia
Honolua Bay,21.018,-156.641,United States
Raglan,-37.82125556,174.82311,New Zealand
Puerto Escondido,15.846,-97.06,Mexico
"Restaurants, Tavarua",-17.853213345551,177.201,Fiji
Secret (Nias),0.6724,97.6617,Indonesia
Kirra,-28.16436510036895,153.53589,Australia
