date,interest,reef_break
2019-01-01,18,Pipeline
2019-02-01,16,Pipeline
2019-03-01,12,Pipeline
2019-04-01,10,Pipeline
2019-05-01,8,Pipeline
2019-06-01,9,Pipeline
2019-07-01,8,Pipeline
2019-08-01,10,Pipeline
2019-09-01,9,Pipeline
2019-10-01,10,Pipeline
2019-11-01,17,Pipeline
2019-12-01,100,Pipeline
2020-01-01,18,Pipeline
2020-02-01,14,Pipeline
2020-03-01,10,Pipeline
2020-04-01,11,Pipeline
2020-05-01,11,Pipeline
2020-06-01,9,Pipeline
2020-07-01,9,Pipeline
2020-08-01,9,Pipeline
2020-09-01,8,Pipeline
2020-10-01,9,Pipeline
2020-11-01,8,Pipeline
2020-12-01,35,Pipeline
2021-01-01,16,Pipeline
2021-02-01,12,Pipeline
2021-03-01,9,Pipeline
2021-04-01,8,Pipeline
2021-05-01,8,Pipeline
2021-06-01,7,Pipeline
2021-07-01,9,Pipeline
2021-08-01,7,Pipeline
2021-09-01,6,Pipeline
2021-10-01,7,Pipeline
2021-11-01,10,Pipeline
2021-12-01,14,Pipeline
2022-01-01,28,Pipeline
2022-02-01,34,Pipeline
2022-03-01,10,Pipeline
2022-04-01,9,Pipeline
2022-05-01,7,Pipeline
2022-06-01,7,Pipeline
2022-07-01,8,Pipeline
2022-08-01,7,Pipeline
2022-09-01,6,Pipeline
2022-10-01,9,Pipeline
2022-11-01,9,Pipeline
2022-12-01,17,Pipeline
2023-01-01,25,Pipeline
2023-02-01,33,Pipeline
2023-03-01,10,Pipeline
2023-04-01,10,Pipeline
2023-05-01,10,Pipeline
2023-06-01,9,Pipeline
2023-07-01,10,Pipeline
2023-08-01,9,Pipeline
2023-09-01,7,Pipeline
2023-10-01,9,Pipeline
2023-11-01,9,Pipeline
2023-12-01,18,Pipeline
2024-01-01,23,Pipeline
2024-02-01,31,Pipeline
2024-03-01,10,Pipeline
2024-04-01,7,Pipeline
2024-05-01,7,Pipeline
2024-06-01,8,Pipeline
2024-07-01,10,Pipeline
2024-08-01,9,Pipeline
2024-09-01,6,Pipeline
2024-10-01,8,Pipeline
2024-11-01,9,Pipeline
2024-12-01,17,Pipeline
2019-01-01,48,Uluwatu
2019-02-01,47,Uluwatu
2019-03-01,49,Uluwatu
2019-04-01,64,Uluwatu
2019-05-01,69,Uluwatu
2019-06-01,71,Uluwatu
2019-07-01,73,Uluwatu
2019-08-01,74,Uluwatu
2019-09-01,68,Uluwatu
2019-10-01,60,Uluwatu
2019-11-01,57,Uluwatu
2019-12-01,49,Uluwatu
2020-01-01,56,Uluwatu
2020-02-01,53,Uluwatu
2020-03-01,32,Uluwatu
2020-04-01,18,Uluwatu
2020-05-01,19,Uluwatu
2020-06-01,19,Uluwatu
