date,reef_break,interest,dhw
2019-01-01,Pipeline,18,0.0
2019-02-01,Pipeline,16,0.0
2019-03-01,Pipeline,12,0.0
2019-04-01,Pipeline,10,0.0
2019-05-01,Pipeline,8,0.0
2019-06-01,Pipeline,9,0.0
2019-07-01,Pipeline,8,0.0
2019-08-01,Pipeline,10,0.0
2019-09-01,Pipeline,9,0.0
2019-10-01,Pipeline,10,0.0
2019-11-01,Pipeline,17,0.0
2019-12-01,Pipeline,100,0.0
2020-01-01,Pipeline,18,0.0
2020-02-01,Pipeline,14,0.0
2020-03-01,Pipeline,10,0.0
2020-04-01,Pipeline,11,0.0
2020-05-01,Pipeline,11,0.0
2020-06-01,Pipeline,9,0.0
2020-07-01,Pipeline,9,0.0
2020-08-01,Pipeline,9,0.0
2020-09-01,Pipeline,8,0.0
2020-10-01,Pipeline,9,0.0
2020-11-01,Pipeline,8,0.0
2020-12-01,Pipeline,35,0.0
2021-01-01,Pipeline,16,0.0
2021-02-01,Pipeline,12,0.0
2021-03-01,Pipeline,9,0.0
2021-04-01,Pipeline,8,0.0
2021-05-01,Pipeline,8,0.0
2021-06-01,Pipeline,7,0.0
2021-07-01,Pipeline,9,0.0
2021-08-01,Pipeline,7,0.0
2021-09-01,Pipeline,6,0.0
2021-10-01,Pipeline,7,0.0
2021-11-01,Pipeline,10,0.0
2021-12-01,Pipeline,14,0.0
2022-01-01,Pipeline,28,
2022-02-01,Pipeline,34,
2022-03-01,Pipeline,10,
2022-04-01,Pipeline,9,
2022-05-01,Pipeline,7,
2022-06-01,Pipeline,7,
2022-07-01,Pipeline,8,
2022-08-01,Pipeline,7,
2022-09-01,Pipeline,6,
2022-10-01,Pipeline,9,
2022-11-01,Pipeline,9,
2022-12-01,Pipeline,17,
2023-01-01,Pipeline,25,0.0
2023-02-01,Pipeline,33,0.0
2023-03-01,Pipeline,10,0.0
2023-04-01,Pipeline,10,0.0
2023-05-01,Pipeline,10,0.0
2023-06-01,Pipeline,9,0.0
2023-07-01,Pipeline,10,0.0
2023-08-01,Pipeline,9,0.0
2023-09-01,Pipeline,7,0.0
2023-10-01,Pipeline,9,0.0
2023-11-01,Pipeline,9,0.0
2023-12-01,Pipeline,18,0.0
2024-01-01,Pipeline,23,0.0
2024-02-01,Pipeline,31,0.0
2024-03-01,Pipeline,10,0.0
2024-04-01,Pipeline,7,0.0
2024-05-01,Pipeline,7,0.0
2024-06-01,Pipeline,8,0.0
2024-07-01,Pipeline,10,0.0
2024-08-01,Pipeline,9,0.0
2024-09-01,Pipeline,6,0.0
2024-10-01,Pipeline,8,0.0
2024-11-01,Pipeline,9,0.0
2024-12-01,Pipeline,17,0.0
2019-01-01,Uluwatu,48,0.0
2019-02-01,Uluwatu,47,0.1632142857142857
2019-03-01,Uluwatu,49,1.0919354838709678
2019-04-01,Uluwatu,64,2.795333333333333
2019-05-01,Uluwatu,69,2.924193548387097
